"ArticleID","trust","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise"
1,713,105,452,43,168,269,285,1138,173,41
2,968,139,634,50,228,362,408,1631,216,52
3,310,41,201,16,84,103,148,573,53,20
4,78,13,39,8,23,23,49,110,32,6
5,683,106,441,39,167,256,300,1138,177,39
6,98,42,71,23,39,58,90,188,36,14
7,68,8,34,5,9,19,21,118,7,7
8,128,13,67,3,18,43,44,227,22,15
9,220,42,187,28,60,122,156,479,61,24
10,104,98,62,85,107,34,142,242,14,15
11,264,39,151,7,58,105,95,435,46,22
12,84,15,65,3,23,49,31,200,9,12
13,336,51,177,56,118,117,174,615,72,34
14,82,25,58,4,20,44,40,189,11,5
15,218,52,153,28,75,102,111,382,67,29
16,290,56,187,26,79,134,129,521,65,29
17,370,73,236,54,110,156,181,736,96,49
18,105,9,40,20,14,28,23,140,7,7
19,894,122,569,49,205,313,352,1367,201,51
20,433,83,238,80,79,129,199,814,52,35
21,21,1,16,3,1,12,2,54,1,2
22,250,39,160,22,39,89,117,509,45,31
23,216,24,201,22,185,102,131,469,49,25
24,148,20,70,25,32,40,76,253,21,13
25,793,242,594,60,287,401,519,1647,283,66
26,71,16,35,6,18,23,31,86,17,6
27,212,34,106,7,60,70,77,225,33,11
28,448,109,259,64,139,131,232,596,118,25
29,109,26,51,12,61,37,69,194,30,17
30,316,36,206,19,65,108,112,464,45,24
31,344,85,192,30,125,145,191,563,126,36
32,541,99,296,39,151,210,228,775,143,43
33,83,16,51,13,8,46,28,168,8,16
34,76,11,39,14,5,46,34,148,8,17
35,521,139,254,63,158,149,298,771,158,57
36,740,91,374,135,155,313,333,1238,132,45
37,594,136,276,70,179,159,333,829,161,50
38,904,149,433,89,229,266,482,1389,278,82
39,561,130,294,65,156,155,295,801,146,37
40,553,140,285,66,159,151,304,821,149,42
41,599,128,305,65,162,163,311,872,147,43
42,382,81,206,38,122,167,210,650,136,46
43,701,140,328,70,167,206,351,992,179,53
44,612,135,287,73,165,173,328,857,159,49
45,471,82,272,40,121,167,225,829,149,58
46,360,86,194,43,117,175,207,605,138,46
47,337,89,186,37,124,147,215,578,144,43
48,80,4,56,1,12,37,27,132,5,6
49,175,25,105,5,60,69,95,247,56,15
50,34,11,19,3,14,23,21,64,10,10
51,184,31,113,8,50,69,92,294,54,21
52,207,53,121,10,71,84,122,332,69,21
53,872,140,526,43,225,306,361,1312,215,51
54,210,42,132,20,73,73,121,321,55,15
55,288,48,190,12,112,82,137,406,73,29
56,404,60,293,22,90,138,217,779,100,42
57,342,45,248,11,65,93,190,646,101,44
58,815,112,493,44,181,290,309,1250,179,46
59,854,143,541,45,234,292,381,1259,220,55
60,203,29,114,20,52,79,113,294,36,28
61,302,140,216,27,180,148,214,432,145,32
62,198,119,138,27,133,121,164,306,118,17
63,214,120,150,27,134,126,163,332,116,17
64,68,5,60,2,21,27,31,141,11,5
65,257,64,187,20,88,108,163,440,63,45
66,649,108,247,39,154,151,243,926,116,25
67,651,107,241,36,154,149,250,902,124,29
68,877,191,415,54,261,258,429,1319,224,39
69,1108,229,603,103,295,365,587,1746,291,99
70,650,102,477,69,120,333,291,1109,117,53
71,3109,519,2490,342,813,1284,1312,6155,712,576
72,3265,498,2484,322,845,1276,1282,6356,694,568
73,3027,496,2398,310,819,1200,1239,5972,680,531
74,2977,481,2354,358,791,1198,1238,5922,658,527
75,3003,479,2372,307,789,1218,1171,5964,646,531
76,3491,621,2669,342,904,1433,1452,6813,784,597
77,2968,477,2334,304,789,1196,1179,5818,662,521
78,3082,484,2375,326,833,1265,1274,6039,692,532
79,3061,481,2392,307,831,1234,1250,5962,698,529
80,2959,465,2359,300,774,1200,1178,5912,655,526
81,3643,565,2756,340,938,1430,1437,6857,821,556
82,2934,498,2332,311,816,1182,1214,5808,678,544
83,2951,484,2352,312,793,1200,1184,5852,652,539
84,3225,482,2548,328,799,1253,1242,6310,668,552
85,3028,505,2402,315,827,1228,1214,5978,668,548
86,2994,492,2398,304,811,1200,1200,5906,662,542
87,3213,514,2554,311,868,1270,1312,6341,694,550
88,423,124,235,62,163,182,221,633,146,30
89,2941,480,2345,303,787,1180,1181,5825,648,523
90,2954,469,2362,303,785,1195,1196,5909,663,523
91,2905,470,2313,302,781,1170,1164,5735,651,521
92,2914,471,2315,304,779,1168,1164,5758,649,522
93,2958,462,2335,305,778,1174,1180,5852,661,522
94,3277,540,2522,386,852,1268,1348,6453,689,553
95,2962,465,2340,304,781,1173,1180,5867,660,522
96,2995,481,2354,305,814,1202,1202,5852,674,533
97,2991,461,2327,302,777,1198,1196,5870,638,522
98,2970,485,2359,305,817,1185,1207,5836,676,525
99,2898,473,2321,303,784,1168,1174,5766,646,520
100,2932,488,2327,320,796,1195,1174,5811,658,530
